B27,TAETIGKEITSSCHLUESSEL4
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,2
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
aa,1
